Reference,Date,Debit,Credit,Description,Balance
REF-20240311-662944,11/03/2024,,437.80,PAYMENT SETTLEMENT TXN20240308047505,254158.50
REF-20240320-384870,20/03/2024,,142.04,PAYMENT SETTLEMENT TXN20240319017956,254300.54
REF-20240326-893295,26/03/2024,,30.39,CARD SETTLEMENT NET TXN20240324012620,254330.93
REF-20240311-328506,11/03/2024,,343.12,PAYMENT SETTLEMENT TXN20240308031201,254674.05
REF-20240402-235972,02/04/2024,,49.72,PAYMENT SETTLEMENT TXN20240328049573,254723.77
REF-20240322-287387,22/03/2024,56.36,,REVERSAL OF REF-20240319-598743,254667.41
REF-20240322-560797,22/03/2024,,123.37,PAYMENT SETTLEMENT TXN20240321038976,254790.78
REF-20240319-661347,19/03/2024,,36.83,CARD SETTLEMENT NET TXN20240316022304,254827.61
REF-20240328-410276,28/03/2024,,109.90,PAYMENT SETTLEMENT TXN20240327014766,254937.51
REF-20240319-758585,19/03/2024,,90.16,PAYMENT SETTLEMENT TXN20240316043875,255027.67
REF-20240305-367814,05/03/2024,,130.30,PAYMENT SETTLEMENT TXN20240303014022,255157.97
REF-20240403-540521,03/04/2024,,329.26,CARD SETTLEMENT NET TXN20240331033612,255487.23
REF-20240326-740060,26/03/2024,,26.48,PAYMENT SETTLEMENT TXN20240324037762,255513.71
REF-20240402-235501,02/04/2024,,48.09,PAYMENT SETTLEMENT TXN20240328023269,255561.80
REF-20240308-516013,08/03/2024,,17.62,PAYMENT SETTLEMENT TXN20240307026224,255579.42
REF-20240305-351035,05/03/2024,,271.60,PAYMENT SETTLEMENT TXN20240302002831,255851.02
REF-20240313-462805,13/03/2024,,35.92,PAYMENT SETTLEMENT TXN20240312013727,255886.94
REF-20240403-893630,03/04/2024,,101.13,PAYMENT SETTLEMENT TXN20240331014117,255988.07
REF-20240313-645410,13/03/2024,,1107.04,PAYMENT SETTLEMENT TXN20240312003120,257095.11
REF-20240307-143133,07/03/2024,,82.12,PAYMENT SETTLEMENT TXN20240306025823,257177.23
REF-20240304-283703,04/03/2024,,114.58,PAYMENT SETTLEMENT TXN20240301000210,257291.81
REF-20240321-161677,21/03/2024,,248.22,PAYMENT SETTLEMENT TXN20240320040287,257540.03
REF-20240311-203449,11/03/2024,,31.89,PAYMENT SETTLEMENT TXN20240308012678,257571.92
REF-20240312-984497,12/03/2024,,67.70,PAYMENT SETTLEMENT TXN20240309019266,257639.62
REF-20240313-395890,13/03/2024,,14.40,MERCHANT CREDIT CUST7648,257654.02
REF-20240319-307641,19/03/2024,,200.34,PAYMENT SETTLEMENT TXN20240316011441,257854.36
REF-20240305-841871,05/03/2024,,135.52,PAYMENT SETTLEMENT TXN20240303027292,257989.88
REF-20240403-461262,03/04/2024,,194.28,PAYMENT SETTLEMENT TXN20240329023302,258184.16
REF-20240326-796762,26/03/2024,,80.01,PAYMENT SETTLEMENT TXN20240325035539,258264.17
REF-20240326-805865,26/03/2024,,75.67,CARD SETTLEMENT NET TXN20240323048949,258339.84
REF-20240319-710190,19/03/2024,,45.49,PAYMENT SETTLEMENT TXN20240317014891,258385.33
REF-20240312-843479,12/03/2024,,99.66,PAYMENT SETTLEMENT TXN20240309007723,258484.99
REF-20240315-240861,15/03/2024,,196.11,PAYMENT SETTLEMENT TXN20240314021575,258681.10
REF-20240312-663261,12/03/2024,,79.19,PAYMENT SETTLEMENT TXN20240309010736,258760.29
REF-20240322-677129,22/03/2024,,496.61,PAYMENT SETTLEMENT TXN20240321042946,259256.90
REF-20240319-586437,19/03/2024,,60.60,CARD SETTLEMENT NET TXN20240318019503,259317.50
REF-20240307-497006,07/03/2024,,103.98,PAYMENT SETTLEMENT TXN20240306028211,259421.48
REF-20240327-328433,27/03/2024,,51.83,CARD SETTLEMENT NET TXN20240326044932,259473.31
REF-20240319-625497,19/03/2024,,83.56,MERCHANT CREDIT CUST7440,259556.87
REF-20240312-681586,12/03/2024,,27.76,PAYMENT SETTLEMENT TXN20240309013100,259584.63
REF-20240308-939595,08/03/2024,,22.04,CARD SETTLEMENT NET TXN20240307040097,259606.67
REF-20240318-622220,18/03/2024,,37.32,PAYMENT SETTLEMENT TXN20240315036595,259643.99
REF-20240402-883193,02/04/2024,,48.99,PAYMENT SETTLEMENT TXN20240328010904,259692.98
REF-20240312-492675,12/03/2024,,95.00,PAYMENT SETTLEMENT TXN20240311010397,259787.98
REF-20240327-721012,27/03/2024,,83.95,SETTLEMENT BATCH 0327,259871.93
REF-20240311-505956,11/03/2024,,43.18,PAYMENT SETTLEMENT TXN20240308021802,259915.11
REF-20240313-110269,13/03/2024,,232.67,PAYMENT SETTLEMENT TXN20240312034655,260147.78
REF-20240312-406048,12/03/2024,,14.52,PAYMENT SETTLEMENT TXN20240311035650,260162.30
REF-20240318-718820,18/03/2024,,9.13,MERCHANT CREDIT CUST7163,260171.43
REF-20240402-907964,02/04/2024,,95.57,PAYMENT SETTLEMENT TXN20240328033654,260267.00
REF-20240318-747044,18/03/2024,,71.90,SETTLEMENT BATCH 0318,260338.90
REF-20240305-623752,05/03/2024,,77.33,PAYMENT SETTLEMENT TXN20240304025641,260416.23
REF-20240305-225182,05/03/2024,,32.66,PAYMENT SETTLEMENT TXN20240303007775,260448.89
REF-20240325-782072,25/03/2024,,101.16,MERCHANT CREDIT CUST8540,260550.05
REF-20240403-986681,03/04/2024,,36.67,PAYMENT SETTLEMENT TXN20240331010766,260586.72
REF-20240403-617046,03/04/2024,71.97,,RETURNED PAYMENT ORIG REF-20240327-286600 RSN AM05 DUPLICATION,260514.75
REF-20240312-942095,12/03/2024,,559.09,MERCHANT CREDIT CUST3031,261073.84
REF-20240315-514395,15/03/2024,,27.47,PAYMENT SETTLEMENT TXN20240314011553,261101.31
REF-20240319-735145,19/03/2024,,20.68,PAYMENT SETTLEMENT TXN20240317042686,261121.99
REF-20240326-853836,26/03/2024,,49.37,PAYMENT SETTLEMENT TXN20240325036663,261171.36
REF-20240318-168120,18/03/2024,,24.06,CARD SETTLEMENT NET TXN20240315001792,261195.42
REF-20240312-480906,12/03/2024,,628.64,MERCHANT CREDIT CUST7765,261824.06
REF-20240326-907077,26/03/2024,,27.64,CARD SETTLEMENT NET TXN20240324031268,261851.70
REF-20240313-140715,13/03/2024,,98.95,PAYMENT SETTLEMENT TXN20240312005995,261950.65
REF-20240305-522503,05/03/2024,,22.98,PAYMENT SETTLEMENT TXN20240303023296,261973.63
REF-20240320-818904,20/03/2024,,33.04,SETTLEMENT BATCH 0320,262006.67
REF-20240312-839745,12/03/2024,,61.64,CARD SETTLEMENT NET TXN20240311032522,262068.31
REF-20240404-721283,04/04/2024,,386.69,SETTLEMENT BATCH 0404,262455.00
REF-20240325-473847,25/03/2024,,134.69,PAYMENT SETTLEMENT TXN20240322007433,262589.69
REF-20240312-612053,12/03/2024,,188.96,PAYMENT SETTLEMENT TXN20240310009913,262778.65
REF-20240304-605100,04/03/2024,,41.63,PAYMENT SETTLEMENT TXN20240301013004,262820.28
REF-20240313-849264,13/03/2024,,179.16,PAYMENT SETTLEMENT TXN20240312014509,262999.44
REF-20240318-772294,18/03/2024,,48.30,CARD SETTLEMENT NET TXN20240315033307,263047.74
REF-20240318-890424,18/03/2024,,81.54,PAYMENT SETTLEMENT TXN20240315006025,263129.28
REF-20240312-416644,12/03/2024,,401.55,PAYMENT SETTLEMENT TXN20240311046946,263530.83
REF-20240314-384305,14/03/2024,,10.45,CARD SETTLEMENT NET TXN20240313012216,263541.28
REF-20240327-103639,27/03/2024,,49.71,PAYMENT SETTLEMENT TXN20240326026855,263590.99
REF-20240312-899330,12/03/2024,,122.15,MERCHANT CREDIT CUST1185,263713.14
REF-20240311-609892,11/03/2024,,94.32,PAYMENT SETTLEMENT TXN20240308044272,263807.46
REF-20240320-479687,20/03/2024,,58.53,PAYMENT SETTLEMENT TXN20240319028816,263865.99
REF-20240312-406296,12/03/2024,,9.28,PAYMENT SETTLEMENT TXN20240310048501,263875.27
REF-20240327-819797,27/03/2024,,110.18,PAYMENT SETTLEMENT TXN20240326043951,263985.45
REF-20240305-187641,05/03/2024,,74.35,SETTLEMENT BATCH 0305,264059.80
REF-20240326-425755,26/03/2024,,67.61,PAYMENT SETTLEMENT TXN20240324005048,264127.41
REF-20240314-613566,14/03/2024,,186.19,PAYMENT SETTLEMENT TXN20240313005536,264313.60
REF-20240307-618964,07/03/2024,,32.75,PAYMENT SETTLEMENT TXN20240306048513,264346.35
REF-20240326-175445,26/03/2024,,43.32,PAYMENT SETTLEMENT TXN20240324049738,264389.67
REF-20240315-220431,15/03/2024,,136.18,CARD SETTLEMENT NET TXN20240314034197,264525.85
REF-20240326-587716,26/03/2024,,154.48,PAYMENT SETTLEMENT TXN20240325029988,264680.33
REF-20240304-281438,04/03/2024,,389.46,MANUAL ADJUSTMENT 89SK,265069.79
REF-20240312-783107,12/03/2024,,27.00,PAYMENT SETTLEMENT TXN20240311039889,265096.79
REF-20240319-521438,19/03/2024,,34.85,PAYMENT SETTLEMENT TXN20240318030935,265131.64
REF-20240305-435213,05/03/2024,,58.36,PAYMENT SETTLEMENT TXN20240303011502,265190.00
REF-20240306-985115,06/03/2024,,25.98,PAYMENT SETTLEMENT TXN20240305016306,265215.98
REF-20240318-494857,18/03/2024,,116.36,PAYMENT SETTLEMENT TXN20240315001534,265332.34
REF-20240403-744378,03/04/2024,,163.78,PAYMENT SETTLEMENT TXN20240329043892,265496.12
REF-20240313-456821,13/03/2024,,59.67,PAYMENT SETTLEMENT TXN20240312020563,265555.79
REF-20240327-994872,27/03/2024,,79.89,MERCHANT CREDIT CUST8724,265635.68
REF-20240307-291070,07/03/2024,,43.27,MERCHANT CREDIT CUST8532,265678.95
REF-20240312-906466,12/03/2024,,14.83,PAYMENT SETTLEMENT TXN20240311018990,265693.78
REF-20240319-125626,19/03/2024,,31.07,CARD SETTLEMENT NET TXN20240317044211,265724.85
REF-20240403-436129,03/04/2024,,45.33,PAYMENT SETTLEMENT TXN20240330033183,265770.18
REF-20240318-476122,18/03/2024,,122.66,PAYMENT SETTLEMENT TXN20240315031818,265892.84
REF-20240312-828498,12/03/2024,,154.80,CARD SETTLEMENT NET TXN20240309031618,266047.64
REF-20240314-699190,14/03/2024,,324.88,PAYMENT SETTLEMENT TXN20240313027281,266372.52
REF-20240305-978481,05/03/2024,,218.95,PAYMENT SETTLEMENT TXN20240302037904,266591.47
REF-20240306-566168,06/03/2024,,15.17,PAYMENT SETTLEMENT TXN20240305040624,266606.64
REF-20240328-431405,28/03/2024,,262.41,PAYMENT SETTLEMENT TXN20240327015658,266869.05
REF-20240327-442362,27/03/2024,,409.09,PAYMENT SETTLEMENT TXN20240326007581,267278.14
REF-20240305-449904,05/03/2024,,40.16,PAYMENT SETTLEMENT TXN20240303021749,267318.30
REF-20240403-217544,03/04/2024,,45.94,PAYMENT SETTLEMENT TXN20240330047301,267364.24
REF-20240319-722022,19/03/2024,,72.23,PAYMENT SETTLEMENT TXN20240316007850,267436.47
REF-20240402-810734,02/04/2024,,42.16,PAYMENT SETTLEMENT TXN20240328046509,267478.63
REF-20240322-988864,22/03/2024,,191.44,MERCHANT CREDIT CUST9723,267670.07
REF-20240403-445506,03/04/2024,,20.02,PAYMENT SETTLEMENT TXN20240330013501,267690.09
REF-20240402-801420,02/04/2024,,19.72,PAYMENT SETTLEMENT TXN20240328006507,267709.81
REF-20240319-947595,19/03/2024,,103.53,PAYMENT SETTLEMENT TXN20240316014803,267813.34
REF-20240311-876337,11/03/2024,,61.03,CARD SETTLEMENT NET TXN20240308048569,267874.37
REF-20240307-925772,07/03/2024,,36.54,PAYMENT SETTLEMENT TXN20240306005603,267910.91
REF-20240305-890246,05/03/2024,,24.62,PAYMENT SETTLEMENT TXN20240303013549,267935.53
REF-20240307-866938,07/03/2024,,12.54,PAYMENT SETTLEMENT TXN20240306012736,267948.07
REF-20240328-527184,28/03/2024,,225.11,PAYMENT SETTLEMENT TXN20240327018191,268173.18
REF-20240305-514462,05/03/2024,,19.53,CARD SETTLEMENT NET TXN20240304033293,268192.71
REF-20240320-682605,20/03/2024,,212.84,PAYMENT SETTLEMENT TXN20240319015494,268405.55
REF-20240314-630924,14/03/2024,,33.58,PAYMENT SETTLEMENT TXN20240313037883,268439.13
REF-20240325-922493,25/03/2024,,105.31,PAYMENT SETTLEMENT TXN20240322006990,268544.44
REF-20240318-730138,18/03/2024,,109.17,PAYMENT SETTLEMENT TXN20240315012622,268653.61
REF-20240313-866515,13/03/2024,,121.42,MERCHANT CREDIT CUST7615,268775.03
REF-20240320-198542,20/03/2024,,61.06,PAYMENT SETTLEMENT TXN20240319014705,268836.09
REF-20240312-365643,12/03/2024,,25.31,PAYMENT SETTLEMENT TXN20240309014208,268861.40
REF-20240305-439346,05/03/2024,,27.15,PAYMENT SETTLEMENT TXN20240302035765,268888.55
REF-20240304-558791,04/03/2024,,22.07,MERCHANT CREDIT CUST6043,268910.62
REF-20240328-443131,28/03/2024,,83.17,SETTLEMENT BATCH 0328,268993.79
REF-20240402-522377,02/04/2024,,207.29,MERCHANT CREDIT CUST1973,269201.08
REF-20240314-559557,14/03/2024,,20.57,PAYMENT SETTLEMENT TXN20240313005981,269221.65
REF-20240326-898643,26/03/2024,,191.58,PAYMENT SETTLEMENT TXN20240323014512,269413.23
REF-20240314-794492,14/03/2024,29.10,,REVERSAL OF REF-20240312-257262,269384.13
REF-20240327-118867,27/03/2024,,32.84,PAYMENT SETTLEMENT TXN20240326007301,269416.97
REF-20240312-379521,12/03/2024,,54.13,CARD SETTLEMENT NET TXN20240311022793,269471.10
REF-20240325-369873,25/03/2024,,54.28,PAYMENT SETTLEMENT TXN20240322012457,269525.38
REF-20240328-942418,28/03/2024,,28.12,CARD SETTLEMENT NET TXN20240327045372,269553.50
REF-20240307-931955,07/03/2024,,96.57,MERCHANT CREDIT CUST7229,269650.07
REF-20240306-842235,06/03/2024,,152.79,MERCHANT CREDIT CUST5948,269802.86
REF-20240313-570434,13/03/2024,199.14,,REVERSAL OF REF-20240311-371684,269603.72
REF-20240304-502192,04/03/2024,,48.35,CARD SETTLEMENT NET TXN20240301040257,269652.07
REF-20240312-665735,12/03/2024,,63.73,PAYMENT SETTLEMENT TXN20240310041634,269715.80
REF-20240326-391993,26/03/2024,,101.70,PAYMENT SETTLEMENT TXN20240323004952,269817.50
REF-20240314-716277,14/03/2024,,116.82,PAYMENT SETTLEMENT TXN20240313032286,269934.32
REF-20240327-404743,27/03/2024,,40.09,PAYMENT SETTLEMENT TXN20240326007341,269974.41
REF-20240319-215044,19/03/2024,,219.25,MERCHANT CREDIT CUST3502,270193.66
REF-20240403-934714,03/04/2024,,76.58,PAYMENT SETTLEMENT TXN20240331024959,270270.24
REF-20240402-520398,02/04/2024,,386.45,SETTLEMENT BATCH 0402,270656.69
REF-20240305-164617,05/03/2024,,11.03,PAYMENT SETTLEMENT TXN20240303027373,270667.72
REF-20240327-891956,27/03/2024,,94.83,SETTLEMENT BATCH 0327,270762.55
REF-20240326-940510,26/03/2024,,65.92,PAYMENT SETTLEMENT TXN20240323035232,270828.47
REF-20240308-212962,08/03/2024,,15.60,PAYMENT SETTLEMENT TXN20240307044583,270844.07
REF-20240315-589443,15/03/2024,,25.64,PAYMENT SETTLEMENT TXN20240314010919,270869.71
REF-20240328-311935,28/03/2024,,7.96,PAYMENT SETTLEMENT TXN20240327041157,270877.67
REF-20240315-764324,15/03/2024,,112.94,CARD SETTLEMENT NET TXN20240314038817,270990.61
REF-20240328-949765,28/03/2024,,233.35,CARD SETTLEMENT NET TXN20240327024635,271223.96
REF-20240320-426269,20/03/2024,,198.47,PAYMENT SETTLEMENT TXN20240319008288,271422.43
REF-20240402-544420,02/04/2024,,18.08,PAYMENT SETTLEMENT TXN20240328046967,271440.51
REF-20240403-109828,03/04/2024,,67.14,PAYMENT SETTLEMENT TXN20240331046924,271507.65
REF-20240318-241822,18/03/2024,,19.78,PAYMENT SETTLEMENT TXN20240315006223,271527.43
REF-20240327-884810,27/03/2024,,421.54,PAYMENT SETTLEMENT TXN20240326047508,271948.97
REF-20240320-476147,20/03/2024,,46.42,PAYMENT SETTLEMENT TXN20240319005328,271995.39
REF-20240305-361937,05/03/2024,,53.87,PAYMENT SETTLEMENT TXN20240304028154,272049.26
REF-20240305-691591,05/03/2024,,25.03,PAYMENT SETTLEMENT TXN20240303025720,272074.29
REF-20240308-983423,08/03/2024,,35.37,PAYMENT SETTLEMENT TXN20240307033776,272109.66
REF-20240326-938362,26/03/2024,,172.95,PAYMENT SETTLEMENT TXN20240324024523,272282.61
REF-20240403-259231,03/04/2024,,221.93,PAYMENT SETTLEMENT TXN20240329005950,272504.54
REF-20240322-652727,22/03/2024,,101.29,PAYMENT SETTLEMENT TXN20240321009609,272605.83
REF-20240315-755771,15/03/2024,,20.07,MERCHANT CREDIT CUST8530,272625.90
REF-20240318-942389,18/03/2024,,15.60,PAYMENT SETTLEMENT TXN20240315028886,272641.50
REF-20240403-565122,03/04/2024,,393.50,PAYMENT SETTLEMENT TXN20240331009510,273035.00
REF-20240305-913151,05/03/2024,,125.68,CARD SETTLEMENT NET TXN20240303021687,273160.68
REF-20240403-152491,03/04/2024,,75.82,PAYMENT SETTLEMENT TXN20240329046713,273236.50
REF-20240312-572115,12/03/2024,,12.59,PAYMENT SETTLEMENT TXN20240309025048,273249.09
REF-20240320-790627,20/03/2024,,42.30,CARD SETTLEMENT NET TXN20240319036380,273291.39
REF-20240321-885165,21/03/2024,,170.38,MERCHANT CREDIT CUST6684,273461.77
REF-20240311-438516,11/03/2024,,32.40,PAYMENT SETTLEMENT TXN20240308030716,273494.17
REF-20240315-271795,15/03/2024,,57.86,PAYMENT SETTLEMENT TXN20240314015251,273552.03
REF-20240403-367322,03/04/2024,,174.25,MERCHANT CREDIT CUST8823,273726.28
REF-20240320-582864,20/03/2024,,10.11,CARD SETTLEMENT NET TXN20240319032437,273736.39
REF-20240320-641638,20/03/2024,,30.25,PAYMENT SETTLEMENT TXN20240319033452,273766.64
REF-20240402-692619,02/04/2024,,100.17,PAYMENT SETTLEMENT TXN20240328017183,273866.81
REF-20240311-286827,11/03/2024,,421.78,SETTLEMENT BATCH 0311,274288.59
REF-20240305-313796,05/03/2024,,16.62,CARD SETTLEMENT NET TXN20240303045294,274305.21
REF-20240403-238808,03/04/2024,,37.51,PAYMENT SETTLEMENT TXN20240329024613,274342.72
REF-20240311-603518,11/03/2024,,24.39,PAYMENT SETTLEMENT TXN20240308024884,274367.11
REF-20240319-836925,19/03/2024,,239.85,MERCHANT CREDIT CUST2181,274606.96
REF-20240403-173076,03/04/2024,,75.67,CARD SETTLEMENT NET TXN20240330044426,274682.63
REF-20240322-133594,22/03/2024,,43.45,PAYMENT SETTLEMENT TXN20240321046237,274726.08
REF-20240312-564471,12/03/2024,,144.17,MERCHANT CREDIT CUST3771,274870.25
REF-20240312-948646,12/03/2024,,95.52,MERCHANT CREDIT CUST2363,274965.77
REF-20240403-207563,03/04/2024,,240.69,PAYMENT SETTLEMENT TXN20240331033428,275206.46
REF-20240325-774537,25/03/2024,,164.93,PAYMENT SETTLEMENT TXN20240322012776,275371.39
REF-20240313-873708,13/03/2024,,122.59,PAYMENT SETTLEMENT TXN20240312024333,275493.98
REF-20240326-289452,26/03/2024,,18.81,PAYMENT SETTLEMENT TXN20240323049586,275512.79
REF-20240328-236368,28/03/2024,,60.11,CARD SETTLEMENT NET TXN20240327007500,275572.90
REF-20240306-840127,06/03/2024,,15.23,PAYMENT SETTLEMENT TXN20240305004536,275588.13
REF-20240325-863772,25/03/2024,,11.73,PAYMENT SETTLEMENT TXN20240322032409,275599.86
REF-20240321-284323,21/03/2024,,77.19,PAYMENT SETTLEMENT TXN20240320044191,275677.05
REF-20240321-542030,21/03/2024,,50.82,PAYMENT SETTLEMENT TXN20240320025852,275727.87
REF-20240319-288331,19/03/2024,,19.90,PAYMENT SETTLEMENT TXN20240318028356,275747.77
REF-20240304-368775,04/03/2024,,227.35,PAYMENT SETTLEMENT TXN20240301020682,275975.12
REF-20240304-834413,04/03/2024,,24.50,PAYMENT SETTLEMENT TXN20240301002817,275999.62
REF-20240326-321106,26/03/2024,,35.63,PAYMENT SETTLEMENT TXN20240325005566,276035.25
REF-20240320-778117,20/03/2024,,17.44,PAYMENT SETTLEMENT TXN20240319031578,276052.69
REF-20240327-120103,27/03/2024,,17.39,SETTLEMENT BATCH 0327,276070.08
REF-20240321-692246,21/03/2024,,18.14,CARD SETTLEMENT NET TXN20240320003963,276088.22
REF-20240306-423005,06/03/2024,,124.98,PAYMENT SETTLEMENT TXN20240305027833,276213.20
REF-20240326-837635,26/03/2024,,349.33,PAYMENT SETTLEMENT TXN20240324001476,276562.53
REF-20240312-539896,12/03/2024,,476.02,PAYMENT SETTLEMENT TXN20240311042447,277038.55
REF-20240328-900276,28/03/2024,,299.40,PAYMENT SETTLEMENT TXN20240327014789,277337.95
REF-20240322-880014,22/03/2024,,711.75,PAYMENT SETTLEMENT TXN20240321038205,278049.70
REF-20240311-528506,11/03/2024,,33.13,PAYMENT SETTLEMENT TXN20240308037224,278082.83
REF-20240319-373823,19/03/2024,,38.16,PAYMENT SETTLEMENT TXN20240318020109,278120.99
REF-20240326-470872,26/03/2024,,28.49,PAYMENT SETTLEMENT TXN20240324023281,278149.48
REF-20240305-244401,05/03/2024,,113.72,CARD SETTLEMENT NET TXN20240304034378,278263.20
REF-20240308-914814,08/03/2024,,108.85,MERCHANT CREDIT CUST8839,278372.05
REF-20240326-904656,26/03/2024,,17.75,PAYMENT SETTLEMENT TXN20240325025657,278389.80
REF-20240320-109554,20/03/2024,,29.00,CARD SETTLEMENT NET TXN20240319010373,278418.80
REF-20240304-339357,04/03/2024,,70.49,PAYMENT SETTLEMENT TXN20240301027114,278489.29
REF-20240313-537004,13/03/2024,,125.47,PAYMENT SETTLEMENT TXN20240312049371,278614.76
REF-20240326-797430,26/03/2024,,161.44,PAYMENT SETTLEMENT TXN20240325042834,278776.20
REF-20240319-911855,19/03/2024,,65.93,PAYMENT SETTLEMENT TXN20240318040529,278842.13
REF-20240308-172850,08/03/2024,,222.83,MERCHANT CREDIT CUST5181,279064.96
REF-20240312-950083,12/03/2024,,36.71,CARD SETTLEMENT NET TXN20240311016482,279101.67
REF-20240319-523048,19/03/2024,,17.17,PAYMENT SETTLEMENT TXN20240317028147,279118.84
REF-20240325-431621,25/03/2024,,54.80,PAYMENT SETTLEMENT TXN20240322031583,279173.64
REF-20240307-612124,07/03/2024,,540.10,MERCHANT CREDIT CUST5118,279713.74
REF-20240312-394365,12/03/2024,,570.99,PAYMENT SETTLEMENT TXN20240311032911,280284.73
REF-20240304-449331,04/03/2024,,220.38,PAYMENT SETTLEMENT TXN20240301001397,280505.11
REF-20240405-632071,05/04/2024,31.68,,RETURNED PAYMENT ORIG REF-20240403-804236 RSN AC01 INCORRECT ACCOUNT NUMBER,280473.43
REF-20240312-761879,12/03/2024,,43.19,PAYMENT SETTLEMENT TXN20240310021985,280516.62
REF-20240304-817569,04/03/2024,,32.91,CARD SETTLEMENT NET TXN20240301023844,280549.53
REF-20240314-702336,14/03/2024,,61.37,MERCHANT CREDIT CUST4234,280610.90
REF-20240305-581282,05/03/2024,,119.08,PAYMENT SETTLEMENT TXN20240303047374,280729.98
REF-20240314-928703,14/03/2024,219.16,,REFUND PROCESSED 24XD,280510.82
REF-20240322-641420,22/03/2024,,519.10,PAYMENT SETTLEMENT TXN20240321029925,281029.92
REF-20240305-771490,05/03/2024,,42.19,CARD SETTLEMENT NET TXN20240302048299,281072.11
REF-20240319-886897,19/03/2024,,53.12,PAYMENT SETTLEMENT TXN20240316039460,281125.23
REF-20240305-548987,05/03/2024,,209.65,PAYMENT SETTLEMENT TXN20240302002354,281334.88
REF-20240307-766126,07/03/2024,,752.03,PAYMENT SETTLEMENT TXN20240306033469,282086.91
REF-20240307-787872,07/03/2024,,1064.43,PAYMENT SETTLEMENT TXN20240306022614,283151.34
REF-20240312-382679,12/03/2024,,34.81,CARD SETTLEMENT NET TXN20240310037206,283186.15
